,round,year,company,pars,value
71,1.0,2022.0,Digby,UnitSold.Performance,499.0
76,1.0,2022.0,Erie,UnitSold.Performance,369.0
80,1.0,2022.0,Ferris,UnitSold.Performance,324.0
91,2.0,2023.0,Andrews,UnitSold.Performance,471.0
96,2.0,2023.0,Baldwin,UnitSold.Performance,654.0
102,2.0,2023.0,Chester,UnitSold.Performance,709.0
107,2.0,2023.0,Digby,UnitSold.Performance,513.0
113,2.0,2023.0,Erie,UnitSold.Performance,208.0
117,2.0,2023.0,Ferris,UnitSold.Performance,204.0
128,3.0,2024.0,Andrews,UnitSold.Performance,449.0
134,3.0,2024.0,Baldwin,UnitSold.Performance,782.0
139,3.0,2024.0,Chester,UnitSold.Performance,1238.0
144,3.0,2024.0,Digby,UnitSold.Performance,585.0
153,3.0,2024.0,Ferris,UnitSold.Performance,242.0
163,4.0,2025.0,Andrews,UnitSold.Performance,507.0
169,4.0,2025.0,Baldwin,UnitSold.Performance,774.0
173,4.0,2025.0,Chester,UnitSold.Performance,1883.0
178,4.0,2025.0,Digby,UnitSold.Performance,589.0
187,4.0,2025.0,Ferris,UnitSold.Performance,193.0
196,5.0,2026.0,Andrews,UnitSold.Performance,492.0
202,5.0,2026.0,Baldwin,UnitSold.Performance,1080.0
207,5.0,2026.0,Chester,UnitSold.Performance,2140.0
212,5.0,2026.0,Digby,UnitSold.Performance,787.0
221,5.0,2026.0,Ferris,UnitSold.Performance,226.0
230,6.0,2027.0,Andrews,UnitSold.Performance,934.0
235,6.0,2027.0,Baldwin,UnitSold.Performance,1364.0
240,6.0,2027.0,Chester,UnitSold.Performance,2363.0
244,6.0,2027.0,Digby,UnitSold.Performance,709.0
253,6.0,2027.0,Ferris,UnitSold.Performance,292.0
262,7.0,2028.0,Andrews,UnitSold.Performance,840.0
267,7.0,2028.0,Baldwin,UnitSold.Performance,2388.0
272,7.0,2028.0,Chester,UnitSold.Performance,2415.0
276,7.0,2028.0,Digby,UnitSold.Performance,848.0
285,7.0,2028.0,Ferris,UnitSold.Performance,292.0
294,8.0,2029.0,Andrews,UnitSold.Performance,758.0
299,8.0,2029.0,Baldwin,UnitSold.Performance,3054.0
304,8.0,2029.0,Chester,UnitSold.Performance,2910.0
308,8.0,2029.0,Digby,UnitSold.Performance,993.0
317,8.0,2029.0,Ferris,UnitSold.Performance,410.0
56,1.0,2022.0,Andrews,UnitSold.Size,266.0
61,1.0,2022.0,Baldwin,UnitSold.Size,458.0
66,1.0,2022.0,Chester,UnitSold.Size,283.0
72,1.0,2022.0,Digby,UnitSold.Size,449.0
77,1.0,2022.0,Erie,UnitSold.Size,364.0
81,1.0,2022.0,Ferris,UnitSold.Size,415.0
92,2.0,2023.0,Andrews,UnitSold.Size,105.0
97,2.0,2023.0,Baldwin,UnitSold.Size,484.0
103,2.0,2023.0,Chester,UnitSold.Size,360.0
108,2.0,2023.0,Digby,UnitSold.Size,583.0
114,2.0,2023.0,Erie,UnitSold.Size,685.0
118,2.0,2023.0,Ferris,UnitSold.Size,578.0
129,3.0,2024.0,Andrews,UnitSold.Size,134.0
135,3.0,2024.0,Baldwin,UnitSold.Size,1002.0
140,3.0,2024.0,Chester,UnitSold.Size,317.0
145,3.0,2024.0,Digby,UnitSold.Size,813.0
150,3.0,2024.0,Erie,UnitSold.Size,427.0
154,3.0,2024.0,Ferris,UnitSold.Size,604.0
164,4.0,2025.0,Andrews,UnitSold.Size,294.0
170,4.0,2025.0,Baldwin,UnitSold.Size,763.0
179,4.0,2025.0,Digby,UnitSold.Size,901.0
183,4.0,2025.0,Erie,UnitSold.Size,1022.0
188,4.0,2025.0,Ferris,UnitSold.Size,668.0
197,5.0,2026.0,Andrews,UnitSold.Size,1103.0
203,5.0,2026.0,Baldwin,UnitSold.Size,937.0
213,5.0,2026.0,Digby,UnitSold.Size,1066.0
217,5.0,2026.0,Erie,UnitSold.Size,1199.0
222,5.0,2026.0,Ferris,UnitSold.Size,290.0
231,6.0,2027.0,Andrews,UnitSold.Size,968.0
236,6.0,2027.0,Baldwin,UnitSold.Size,1272.0
245,6.0,2027.0,Digby,UnitSold.Size,1360.0
249,6.0,2027.0,Erie,UnitSold.Size,1304.0
254,6.0,2027.0,Ferris,UnitSold.Size,408.0
263,7.0,2028.0,Andrews,UnitSold.Size,1032.0
268,7.0,2028.0,Baldwin,UnitSold.Size,2220.0
277,7.0,2028.0,Digby,UnitSold.Size,1501.0
281,7.0,2028.0,Erie,UnitSold.Size,1369.0
286,7.0,2028.0,Ferris,UnitSold.Size,309.0
295,8.0,2029.0,Andrews,UnitSold.Size,1219.0
300,8.0,2029.0,Baldwin,UnitSold.Size,2758.0
309,8.0,2029.0,Digby,UnitSold.Size,1667.0
313,8.0,2029.0,Erie,UnitSold.Size,1561.0
318,8.0,2029.0,Ferris,UnitSold.Size,404.0
57,1.0,2022.0,Andrews,UnitSold.Traditional,1319.0
62,1.0,2022.0,Baldwin,UnitSold.Traditional,1377.0
67,1.0,2022.0,Chester,UnitSold.Traditional,1282.0
73,1.0,2022.0,Digby,UnitSold.Traditional,1520.0
78,1.0,2022.0,Erie,UnitSold.Traditional,1479.0
82,1.0,2022.0,Ferris,UnitSold.Traditional,1625.0
93,2.0,2023.0,Andrews,UnitSold.Traditional,1290.0
98,2.0,2023.0,Baldwin,UnitSold.Traditional,1935.0
104,2.0,2023.0,Chester,UnitSold.Traditional,1203.0
109,2.0,2023.0,Digby,UnitSold.Traditional,1525.0
115,2.0,2023.0,Erie,UnitSold.Traditional,1891.0
119,2.0,2023.0,Ferris,UnitSold.Traditional,1044.0
130,3.0,2024.0,Andrews,UnitSold.Traditional,1461.0
136,3.0,2024.0,Baldwin,UnitSold.Traditional,1957.0
141,3.0,2024.0,Chester,UnitSold.Traditional,2757.0
146,3.0,2024.0,Digby,UnitSold.Traditional,1941.0
151,3.0,2024.0,Erie,UnitSold.Traditional,1756.0
155,3.0,2024.0,Ferris,UnitSold.Traditional,492.0
165,4.0,2025.0,Andrews,UnitSold.Traditional,1636.0
171,4.0,2025.0,Baldwin,UnitSold.Traditional,2481.0
174,4.0,2025.0,Chester,UnitSold.Traditional,2497.0
180,4.0,2025.0,Digby,UnitSold.Traditional,1622.0
184,4.0,2025.0,Erie,UnitSold.Traditional,2098.0
198,5.0,2026.0,Andrews,UnitSold.Traditional,1909.0
204,5.0,2026.0,Baldwin,UnitSold.Traditional,2713.0
208,5.0,2026.0,Chester,UnitSold.Traditional,3448.0
214,5.0,2026.0,Digby,UnitSold.Traditional,1812.0
218,5.0,2026.0,Erie,UnitSold.Traditional,1461.0
232,6.0,2027.0,Andrews,UnitSold.Traditional,1932.0
237,6.0,2027.0,Baldwin,UnitSold.Traditional,4028.0
241,6.0,2027.0,Chester,UnitSold.Traditional,2399.0
246,6.0,2027.0,Digby,UnitSold.Traditional,1653.0
250,6.0,2027.0,Erie,UnitSold.Traditional,2541.0
264,7.0,2028.0,Andrews,UnitSold.Traditional,2420.0
269,7.0,2028.0,Baldwin,UnitSold.Traditional,3863.0
273,7.0,2028.0,Chester,UnitSold.Traditional,4226.0
278,7.0,2028.0,Digby,UnitSold.Traditional,1842.0
282,7.0,2028.0,Erie,UnitSold.Traditional,1327.0
296,8.0,2029.0,Andrews,UnitSold.Traditional,1834.0
301,8.0,2029.0,Baldwin,UnitSold.Traditional,4433.0
305,8.0,2029.0,Chester,UnitSold.Traditional,4302.0
310,8.0,2029.0,Digby,UnitSold.Traditional,1828.0
314,8.0,2029.0,Erie,UnitSold.Traditional,2539.0
70,1.0,2022.0,Digby,UnitSold.NA,0.0
90,2.0,2023.0,Andrews,UnitSold.NA,0.0
101,2.0,2023.0,Chester,UnitSold.NA,0.0
112,2.0,2023.0,Erie,UnitSold.NA,0.0
127,3.0,2024.0,Andrews,UnitSold.NA,0.0
133,3.0,2024.0,Baldwin,UnitSold.NA,0.0
138,3.0,2024.0,Chester,UnitSold.NA,0.0
149,3.0,2024.0,Erie,UnitSold.NA,0.0
168,4.0,2025.0,Baldwin,UnitSold.NA,0.0
177,4.0,2025.0,Digby,UnitSold.NA,0.0
201,5.0,2026.0,Baldwin,UnitSold.NA,0.0
206,5.0,2026.0,Chester,UnitSold.NA,0.0
211,5.0,2026.0,Digby,UnitSold.NA,0.0
